seq_name	n_genes	n_uscg	n_plasmid_hallmarks	n_virus_hallmarks	genetic_code	strand_switch_rate	coding_density	no_rbs_freq	sd_bacteroidetes_rbs_freq	sd_canonical_rbs_freq	tatata_rbs_freq	cc_marker_freq	cp_marker_freq	cv_marker_freq	pc_marker_freq	pp_marker_freq	pv_marker_freq	vc_marker_freq	vp_marker_freq	vv_marker_freq	c_marker_freq	p_marker_freq	v_marker_freq	median_c_spm	median_p_spm	median_v_spm	v_vs_c_score_logistic	v_vs_p_score_logistic	p_vs_c_score_logistic	gv_marker_freq	marker_enrichment_c	marker_enrichment_p	marker_enrichment_v
JAJIVY010000100.1	15	0	3	0	11	0.4286	0.8593	0.2667	0.0000	0.7333	0.0000	0.0000	0.0000	0.0000	0.0667	0.4000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4667	0.0000	0.0000	1.0000	0.0000	0.4473	0.0027	0.9967	0.0000	-11.4351	11.4351	-12.9374
JAJIVY010000101.1	1	0	0	0	11	0.0000	0.7798	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000
JAJIVY010000102.1	1	0	0	0	11	0.0000	0.9369	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000
JAJIVY010000103.1	87	0	0	3	11	0.2558	0.8518	0.2414	0.0000	0.7586	0.0000	0.0345	0.2759	0.0575	0.0460	0.0115	0.0000	0.0345	0.0000	0.0345	0.3678	0.0575	0.0690	0.8045	0.5495	0.0000	0.0000	0.0007	0.0000	0.0000	10.4948	-39.2710	-88.6849
JAJIVY010000104.1	124	1	0	0	11	0.3008	0.8194	0.2742	0.0000	0.7258	0.0000	0.0484	0.3145	0.0161	0.0323	0.0081	0.0000	0.0161	0.0000	0.0161	0.3790	0.0403	0.0323	0.7795	0.5887	0.0000	0.0000	0.0000	0.0000	0.0000	16.8690	-35.4149	-136.0802
JAJIVY010000105.1	54	0	0	1	11	0.4151	0.8444	0.2407	0.0000	0.7593	0.0000	0.0370	0.1481	0.0185	0.0370	0.0000	0.0000	0.0000	0.0000	0.0556	0.2037	0.0370	0.0556	0.7453	0.5105	0.0000	0.0064	0.1043	0.0526	0.0000	0.2460	-11.9766	-29.2545
JAJIVY010000010.1	78	0	0	0	11	0.2727	0.8590	0.2692	0.0000	0.7308	0.0000	0.0385	0.2308	0.0256	0.0385	0.0128	0.0000	0.0128	0.0000	0.0128	0.2949	0.0513	0.0256	0.7655	0.6109	0.0000	0.0000	0.0003	0.0026	0.0000	7.6297	-18.3651	-68.5472
JAJIVY010000011.1	12	0	0	0	11	0.1818	0.9043	0.4167	0.0000	0.5833	0.0000	0.0833	0.5000	0.0833	0.0833	0.0000	0.0000	0.0000	0.0000	0.0000	0.6667	0.0833	0.0000	0.7615	0.6481	0.0000	0.0059	0.0379	0.1299	0.0000	3.3554	-4.8872	-24.1444
JAJIVY010000012.1	40	0	0	1	11	0.3590	0.8761	0.1500	0.0000	0.8500	0.0000	0.0500	0.3250	0.0250	0.1250	0.0250	0.0000	0.0250	0.0000	0.0000	0.4000	0.1500	0.0250	0.6545	0.6661	0.0000	0.0000	0.0001	0.2550	0.0000	0.2405	-5.7904	-59.6714
JAJIVY010000013.1	185	1	0	0	11	0.3804	0.8300	0.2757	0.0000	0.7243	0.0000	0.0541	0.2432	0.0216	0.0757	0.0000	0.0000	0.0000	0.0000	0.0162	0.3189	0.0757	0.0162	0.7440	0.6525	0.0000	0.0000	0.0000	0.0000	0.0000	17.2446	-34.2675	-193.9314
JAJIVY010000014.1	28	0	0	0	11	0.4815	0.8628	0.2143	0.0000	0.7857	0.0000	0.0357	0.3571	0.0357	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4286	0.0000	0.0000	0.7974	0.6028	0.0000	0.0006	0.0164	0.0368	0.0000	6.1335	-7.5417	-33.0152
JAJIVY010000015.1	257	0	0	0	11	0.3281	0.8371	0.2490	0.0000	0.7510	0.0000	0.0584	0.3113	0.0039	0.0700	0.0078	0.0000	0.0039	0.0000	0.0039	0.3735	0.0778	0.0078	0.7592	0.6492	0.0000	0.0000	0.0000	0.0000	0.0000	29.7348	-37.7797	-319.1679
JAJIVY010000016.1	256	5	0	1	11	0.2667	0.8683	0.3203	0.0000	0.6797	0.0000	0.0664	0.2891	0.0312	0.0586	0.0000	0.0039	0.0195	0.0000	0.0117	0.3867	0.0625	0.0312	0.8073	0.5618	0.0000	0.0000	0.0000	0.0000	0.0000	45.1918	-86.3261	-293.2241
JAJIVY010000017.1	2	0	0	0	11	0.0000	0.8448	0.5000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000
JAJIVY010000018.1	31	0	2	0	11	0.5333	0.8560	0.3226	0.0000	0.6774	0.0000	0.0000	0.2258	0.0000	0.0645	0.0000	0.0000	0.0000	0.0000	0.0000	0.2258	0.0645	0.0000	0.6635	0.7482	0.0000	0.0118	0.0094	0.5581	0.0000	-0.4673	0.4673	-26.1030
JAJIVY010000019.1	1	0	0	0	11	0.0000	0.9432	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000
