seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
JAJIWF010000046.1	2586	No terminal repeats	3	11	1.0000	NA	2	4.4475	T_virB5	NA
JAJIWF010000067.1	13735	No terminal repeats	15	11	1.0000	NA	3	11.4351	MOBH;T_virB6;B_traI	NA
JAJIWF010000004.1	18853	No terminal repeats	25	11	1.0000	NA	3	8.3277	MOBP1;I_traY	NA
JAJIWF010000050.1	39340	No terminal repeats	51	11	1.0000	NA	11	28.6635	T_virB1;T_virB2;T_virB3;virb4;T_virB5;T_virB6;T_virB8;T_virB9;t4cp2	NA
JAJIWF010000002.1	34959	No terminal repeats	41	11	1.0000	NA	9	15.1371	t4cp2;T_virB1;T_virB10;T_virB9;T_virB6;T_virB5;virb4	NA
JAJIWF010000068.1	14851	No terminal repeats	13	11	1.0000	NA	1	4.1647	NA	NA
JAJIWF010000032.1	18344	No terminal repeats	18	11	0.9999	NA	1	15.3408	NA	NA
JAJIWF010000042.1	12158	No terminal repeats	10	11	0.9999	NA	0	4.9816	NA	NA
JAJIWF010000001.1	114440	No terminal repeats	124	11	0.9997	NA	7	23.1926	I_trbA;I_traW;I_traY;I_traK;I_traI;I_traN;traU	NA
JAJIWF010000018.1	60497	No terminal repeats	52	11	0.9995	NA	0	3.6551	NA	NF033135;NF000272
JAJIWF010000021.1	7703	No terminal repeats	8	11	0.9993	NA	1	3.4366	T_virB6	NA
