seq_name	chromosome_score	plasmid_score	virus_score
JBHJCE010000001.1	0.4631	0.5159	0.0210
JBHJCE010000002.1	0.4366	0.5380	0.0254
JBHJCE010000003.1	0.4643	0.5152	0.0204
JBHJCE010000004.1	0.4993	0.4778	0.0229
JBHJCE010000005.1	0.4040	0.5828	0.0132
JBHJCE010000006.1	0.4757	0.5007	0.0236
JBHJCE010000007.1	0.4776	0.5041	0.0184
JBHJCE010000008.1	0.5054	0.4646	0.0300
JBHJCE010000009.1	0.4972	0.4668	0.0360
JBHJCE010000010.1	0.4520	0.5118	0.0361
JBHJCE010000011.1	0.4610	0.5302	0.0088
JBHJCE010000012.1	0.5129	0.4624	0.0247
JBHJCE010000013.1	0.3944	0.5841	0.0215
JBHJCE010000014.1	0.4382	0.5231	0.0387
JBHJCE010000015.1	0.5065	0.4558	0.0377
JBHJCE010000016.1	0.5252	0.4654	0.0094
JBHJCE010000017.1	0.4188	0.4951	0.0861
JBHJCE010000018.1	0.5211	0.4727	0.0062
JBHJCE010000019.1	0.5458	0.4285	0.0257
JBHJCE010000020.1	0.5245	0.4546	0.0209
JBHJCE010000021.1	0.4193	0.5673	0.0133
JBHJCE010000022.1	0.4183	0.5731	0.0087
JBHJCE010000023.1	0.3429	0.6404	0.0167
JBHJCE010000024.1	0.6777	0.2960	0.0263
JBHJCE010000025.1	0.4665	0.5262	0.0073
JBHJCE010000026.1	0.4391	0.5082	0.0527
JBHJCE010000027.1	0.4022	0.5712	0.0266
JBHJCE010000028.1	0.3590	0.6090	0.0320
JBHJCE010000029.1	0.4249	0.5512	0.0240
JBHJCE010000030.1	0.3014	0.6892	0.0094
JBHJCE010000031.1	0.5104	0.4712	0.0184
JBHJCE010000032.1	0.5008	0.4716	0.0276
JBHJCE010000033.1	0.3222	0.6397	0.0381
JBHJCE010000034.1	0.6042	0.3762	0.0196
JBHJCE010000035.1	0.4554	0.5171	0.0275
JBHJCE010000036.1	0.0069	0.8296	0.1635
JBHJCE010000037.1	0.4895	0.4819	0.0286
JBHJCE010000038.1	0.4164	0.4662	0.1174
JBHJCE010000039.1	0.5523	0.4361	0.0116
JBHJCE010000040.1	0.1172	0.5352	0.3475
JBHJCE010000041.1	0.4752	0.5202	0.0046
JBHJCE010000042.1	0.4231	0.5318	0.0451
JBHJCE010000043.1	0.0015	0.8008	0.1976
JBHJCE010000044.1	0.0034	0.8718	0.1248
JBHJCE010000045.1	0.0841	0.7927	0.1232
JBHJCE010000046.1	0.0001	0.9288	0.0712
JBHJCE010000047.1	0.5285	0.3387	0.1328
JBHJCE010000048.1	0.0038	0.7746	0.2216
JBHJCE010000049.1	0.0006	0.9793	0.0201
JBHJCE010000050.1	0.1249	0.8452	0.0300
JBHJCE010000051.1	0.0074	0.8403	0.1523
JBHJCE010000052.1	0.2797	0.5862	0.1341
JBHJCE010000053.1	0.0057	0.7837	0.2106
JBHJCE010000054.1	0.5099	0.4721	0.0180
JBHJCE010000055.1	0.0000	0.9964	0.0036
JBHJCE010000056.1	0.0206	0.8653	0.1141
JBHJCE010000057.1	0.0009	0.7846	0.2145
JBHJCE010000058.1	0.1126	0.7716	0.1158
JBHJCE010000059.1	0.0102	0.6418	0.3479
JBHJCE010000060.1	0.0785	0.8757	0.0458
JBHJCE010000061.1	0.0064	0.9769	0.0167
JBHJCE010000062.1	0.8902	0.1017	0.0082
JBHJCE010000063.1	0.1295	0.7303	0.1402
JBHJCE010000064.1	0.3075	0.6261	0.0664
JBHJCE010000065.1	0.1117	0.7969	0.0914
JBHJCE010000066.1	0.7113	0.2551	0.0336
JBHJCE010000067.1	0.4691	0.2902	0.2407
JBHJCE010000068.1	0.2955	0.6072	0.0973
JBHJCE010000069.1	0.4615	0.5199	0.0186
JBHJCE010000070.1	0.2931	0.6850	0.0219
JBHJCE010000071.1	0.6200	0.3380	0.0421
JBHJCE010000072.1	0.1094	0.8235	0.0672
JBHJCE010000073.1	0.3370	0.5745	0.0886
JBHJCE010000074.1	0.4432	0.4798	0.0770
JBHJCE010000075.1	0.4295	0.4228	0.1477
JBHJCE010000076.1	0.3197	0.4412	0.2391
JBHJCE010000077.1	0.3722	0.3888	0.2389
JBHJCE010000078.1	0.3628	0.5014	0.1358
JBHJCE010000079.1	0.2944	0.2596	0.4460
JBHJCE010000080.1	0.3989	0.4204	0.1807
JBHJCE010000081.1	0.2857	0.3684	0.3459
JBHJCE010000082.1	0.2485	0.6341	0.1173
JBHJCE010000083.1	0.2212	0.6878	0.0911
JBHJCE010000084.1	0.5529	0.3516	0.0955
JBHJCE010000085.1	0.2442	0.2962	0.4596
JBHJCE010000086.1	0.4061	0.4844	0.1095
JBHJCE010000087.1	0.1663	0.4061	0.4276
JBHJCE010000088.1	0.2874	0.5174	0.1952
JBHJCE010000089.1	0.3766	0.3424	0.2809
JBHJCE010000090.1	0.3880	0.3242	0.2878
JBHJCE010000091.1	0.6956	0.2304	0.0740
JBHJCE010000092.1	0.8567	0.0891	0.0543
JBHJCE010000093.1	0.5178	0.2673	0.2149
JBHJCE010000094.1	0.2483	0.5714	0.1803
JBHJCE010000095.1	0.4114	0.4529	0.1357
JBHJCE010000096.1	0.4010	0.2670	0.3320
JBHJCE010000097.1	0.4313	0.3507	0.2180
JBHJCE010000098.1	0.2952	0.2815	0.4233
JBHJCE010000099.1	0.4140	0.3480	0.2380
JBHJCE010000100.1	0.5633	0.2805	0.1563
JBHJCE010000101.1	0.4517	0.2850	0.2633
JBHJCE010000102.1	0.3790	0.1815	0.4395
JBHJCE010000103.1	0.2953	0.3294	0.3753
JBHJCE010000104.1	0.6404	0.2520	0.1076
JBHJCE010000105.1	0.3436	0.3355	0.3209
JBHJCE010000106.1	0.6203	0.1785	0.2012
JBHJCE010000107.1	0.3976	0.3683	0.2341
JBHJCE010000108.1	0.6446	0.1673	0.1881
JBHJCE010000109.1	0.5508	0.1075	0.3417
JBHJCE010000110.1	0.4710	0.2223	0.3068
JBHJCE010000111.1	0.4152	0.1424	0.4424
JBHJCE010000112.1	0.5891	0.1978	0.2131
JBHJCE010000113.1	0.1429	0.1263	0.7307
JBHJCE010000114.1	0.3425	0.2095	0.4479
JBHJCE010000115.1	0.3733	0.0843	0.5424
JBHJCE010000116.1	0.3560	0.1620	0.4820
JBHJCE010000117.1	0.5455	0.2279	0.2265
JBHJCE010000118.1	0.4849	0.2173	0.2978
JBHJCE010000119.1	0.2406	0.1343	0.6251
JBHJCE010000120.1	0.2278	0.1235	0.6487
JBHJCE010000121.1	0.1595	0.2822	0.5583
JBHJCE010000122.1	0.4385	0.2041	0.3573
JBHJCE010000123.1	0.3816	0.1182	0.5002
JBHJCE010000124.1	0.3744	0.1128	0.5128
JBHJCE010000125.1	0.3493	0.1918	0.4589
JBHJCE010000126.1	0.4538	0.1303	0.4159
JBHJCE010000127.1	0.3944	0.1173	0.4882
JBHJCE010000128.1	0.3458	0.1283	0.5259
JBHJCE010000129.1	0.2945	0.0775	0.6281
JBHJCE010000130.1	0.2897	0.1211	0.5892
