seq_name	chromosome_score	plasmid_score	virus_score
JBHJBU010000001.1	0.4715	0.5014	0.0271
JBHJBU010000002.1	0.4392	0.5442	0.0166
JBHJBU010000003.1	0.4306	0.5357	0.0337
JBHJBU010000004.1	0.4725	0.4919	0.0356
JBHJBU010000005.1	0.4219	0.5480	0.0301
JBHJBU010000006.1	0.4077	0.5729	0.0194
JBHJBU010000007.1	0.5039	0.4753	0.0208
JBHJBU010000008.1	0.4725	0.4940	0.0336
JBHJBU010000009.1	0.4792	0.5061	0.0146
JBHJBU010000010.1	0.4253	0.5644	0.0104
JBHJBU010000011.1	0.4678	0.5056	0.0267
JBHJBU010000012.1	0.4851	0.4840	0.0310
JBHJBU010000013.1	0.5154	0.4500	0.0345
JBHJBU010000014.1	0.5894	0.3938	0.0168
JBHJBU010000015.1	0.5251	0.4629	0.0121
JBHJBU010000016.1	0.4904	0.4748	0.0348
JBHJBU010000017.1	0.4515	0.5251	0.0234
JBHJBU010000018.1	0.3564	0.5298	0.1138
JBHJBU010000019.1	0.5236	0.4698	0.0065
JBHJBU010000020.1	0.4300	0.5300	0.0400
JBHJBU010000021.1	0.4121	0.5742	0.0137
JBHJBU010000022.1	0.4302	0.5123	0.0576
JBHJBU010000023.1	0.3228	0.6474	0.0298
JBHJBU010000024.1	0.2748	0.6762	0.0489
JBHJBU010000025.1	0.4666	0.5266	0.0068
JBHJBU010000026.1	0.4299	0.5516	0.0185
JBHJBU010000027.1	0.4251	0.5509	0.0241
JBHJBU010000028.1	0.3949	0.5812	0.0239
JBHJBU010000029.1	0.5354	0.4520	0.0126
JBHJBU010000030.1	0.3119	0.6526	0.0355
JBHJBU010000031.1	0.3309	0.6530	0.0161
JBHJBU010000032.1	0.6261	0.3539	0.0200
JBHJBU010000033.1	0.0087	0.8579	0.1333
JBHJBU010000034.1	0.4990	0.4789	0.0221
JBHJBU010000035.1	0.5113	0.4659	0.0228
JBHJBU010000036.1	0.0032	0.7704	0.2264
JBHJBU010000037.1	0.2596	0.5107	0.2297
JBHJBU010000038.1	0.4453	0.5033	0.0514
JBHJBU010000039.1	0.0194	0.8765	0.1041
JBHJBU010000040.1	0.5709	0.4085	0.0206
JBHJBU010000041.1	0.0837	0.7933	0.1230
JBHJBU010000042.1	0.6942	0.2628	0.0430
JBHJBU010000043.1	0.0768	0.8681	0.0551
JBHJBU010000044.1	0.0005	0.9737	0.0258
JBHJBU010000045.1	0.0001	0.9505	0.0494
JBHJBU010000046.1	0.0038	0.9859	0.0103
JBHJBU010000047.1	0.1109	0.6971	0.1919
JBHJBU010000048.1	0.0095	0.4603	0.5302
JBHJBU010000049.1	0.1670	0.7543	0.0788
JBHJBU010000050.1	0.5039	0.4779	0.0182
JBHJBU010000051.1	0.0532	0.5420	0.4049
JBHJBU010000052.1	0.0007	0.8061	0.1932
JBHJBU010000053.1	0.0173	0.7350	0.2477
JBHJBU010000054.1	0.0954	0.8437	0.0609
JBHJBU010000055.1	0.5395	0.4516	0.0089
JBHJBU010000056.1	0.0102	0.6418	0.3479
JBHJBU010000057.1	0.0064	0.9769	0.0167
JBHJBU010000058.1	0.8850	0.0752	0.0398
JBHJBU010000059.1	0.0102	0.7796	0.2102
JBHJBU010000060.1	0.4253	0.3126	0.2621
JBHJBU010000061.1	0.0070	0.8344	0.1586
JBHJBU010000062.1	0.1545	0.8053	0.0402
JBHJBU010000063.1	0.4664	0.1697	0.3639
JBHJBU010000064.1	0.4561	0.2731	0.2708
JBHJBU010000065.1	0.1836	0.7810	0.0353
JBHJBU010000066.1	0.3290	0.5604	0.1105
JBHJBU010000067.1	0.6864	0.2687	0.0449
JBHJBU010000068.1	0.8303	0.1386	0.0312
JBHJBU010000069.1	0.4095	0.4642	0.1263
JBHJBU010000070.1	0.2576	0.5219	0.2205
JBHJBU010000071.1	0.8732	0.1103	0.0165
JBHJBU010000072.1	0.4940	0.4155	0.0905
JBHJBU010000073.1	0.5917	0.3733	0.0350
JBHJBU010000074.1	0.2758	0.4505	0.2737
JBHJBU010000075.1	0.1167	0.7255	0.1579
JBHJBU010000076.1	0.4477	0.3335	0.2189
JBHJBU010000077.1	0.3965	0.4030	0.2006
JBHJBU010000078.1	0.1902	0.2423	0.5675
JBHJBU010000079.1	0.4022	0.4782	0.1195
JBHJBU010000080.1	0.1181	0.7705	0.1114
JBHJBU010000081.1	0.5529	0.3516	0.0955
JBHJBU010000082.1	0.4061	0.4844	0.1095
JBHJBU010000083.1	0.3046	0.4335	0.2620
JBHJBU010000084.1	0.2082	0.3984	0.3934
JBHJBU010000085.1	0.3246	0.5351	0.1403
JBHJBU010000086.1	0.2053	0.5491	0.2456
JBHJBU010000087.1	0.3372	0.3934	0.2694
