seq_name	chromosome_score	plasmid_score	virus_score
JAJIVX010000096.1	0.6370	0.0273	0.3357
JAJIVX010000097.1	1.0000	0.0000	0.0000
JAJIVX010000098.1	0.9986	0.0014	0.0000
JAJIVX010000099.1	0.9989	0.0011	0.0000
JAJIVX010000100.1	1.0000	0.0000	0.0000
JAJIVX010000101.1	0.9908	0.0091	0.0001
JAJIVX010000102.1	0.9999	0.0001	0.0000
JAJIVX010000103.1	0.9891	0.0109	0.0000
JAJIVX010000104.1	0.0038	0.9962	0.0000
JAJIVX010000105.1	0.9998	0.0000	0.0002
JAJIVX010000106.1	1.0000	0.0000	0.0000
JAJIVX010000107.1	1.0000	0.0000	0.0000
JAJIVX010000108.1	0.8860	0.0766	0.0374
JAJIVX010000109.1	1.0000	0.0000	0.0000
JAJIVX010000110.1	0.9997	0.0002	0.0002
JAJIVX010000111.1	0.0000	0.0002	0.9997
JAJIVX010000112.1	0.0012	0.9988	0.0000
JAJIVX010000113.1	0.8094	0.1905	0.0000
JAJIVX010000114.1	0.8610	0.1390	0.0000
JAJIVX010000115.1	1.0000	0.0000	0.0000
JAJIVX010000010.1	1.0000	0.0000	0.0000
JAJIVX010000116.1	0.9995	0.0005	0.0000
JAJIVX010000117.1	0.9991	0.0009	0.0000
JAJIVX010000118.1	0.7190	0.0397	0.2413
JAJIVX010000119.1	0.0000	0.9999	0.0000
JAJIVX010000120.1	0.5928	0.4072	0.0000
JAJIVX010000121.1	0.8311	0.1671	0.0018
JAJIVX010000122.1	0.9362	0.0638	0.0000
JAJIVX010000123.1	1.0000	0.0000	0.0000
JAJIVX010000124.1	1.0000	0.0000	0.0000
JAJIVX010000125.1	0.6039	0.1608	0.2353
JAJIVX010000011.1	1.0000	0.0000	0.0000
JAJIVX010000126.1	0.7986	0.0686	0.1328
JAJIVX010000127.1	0.7768	0.2193	0.0039
JAJIVX010000128.1	0.5368	0.2133	0.2499
JAJIVX010000129.1	0.9998	0.0002	0.0000
JAJIVX010000130.1	0.7819	0.1588	0.0592
JAJIVX010000012.1	0.9995	0.0005	0.0000
