seq_name	n_genes	n_uscg	n_plasmid_hallmarks	n_virus_hallmarks	genetic_code	strand_switch_rate	coding_density	no_rbs_freq	sd_bacteroidetes_rbs_freq	sd_canonical_rbs_freq	tatata_rbs_freq	cc_marker_freq	cp_marker_freq	cv_marker_freq	pc_marker_freq	pp_marker_freq	pv_marker_freq	vc_marker_freq	vp_marker_freq	vv_marker_freq	c_marker_freq	p_marker_freq	v_marker_freq	median_c_spm	median_p_spm	median_v_spm	v_vs_c_score_logistic	v_vs_p_score_logistic	p_vs_c_score_logistic	gv_marker_freq	marker_enrichment_c	marker_enrichment_p	marker_enrichment_v
JAJIVS010000010.1	39	0	0	0	11	0.4474	0.8113	0.3590	0.0000	0.6410	0.0000	0.0256	0.2308	0.0000	0.1026	0.0000	0.0000	0.0000	0.0000	0.0000	0.2564	0.1026	0.0000	0.6519	0.7584	0.0000	0.0006	0.0012	0.3441	0.0000	1.2901	-1.2901	-40.5256
JAJIVS010000011.1	35	1	0	0	11	0.2941	0.8755	0.1429	0.0000	0.8571	0.0000	0.0857	0.4286	0.0286	0.0286	0.0000	0.0000	0.0000	0.0000	0.0000	0.5429	0.0286	0.0000	0.7939	0.6079	0.0000	0.0000	0.0012	0.0032	0.0000	11.0129	-12.6494	-54.3173
JAJIVS010000012.1	66	0	0	0	11	0.3385	0.8865	0.1515	0.0000	0.8485	0.0000	0.0455	0.1667	0.0303	0.0606	0.0303	0.0000	0.0000	0.0000	0.0152	0.2424	0.0909	0.0152	0.7686	0.6355	0.0000	0.0000	0.0006	0.0706	0.0000	1.8122	-10.7166	-53.2918
JAJIVS010000013.1	20	1	0	0	11	0.3684	0.8807	0.2500	0.0000	0.7500	0.0000	0.2000	0.2000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4000	0.0000	0.0000	0.9516	0.2147	0.0000	0.0021	0.2117	0.0077	0.0000	9.7104	-9.7104	-18.5157
JAJIVS010000014.1	48	0	10	0	11	0.2128	0.7934	0.1250	0.0000	0.8750	0.0000	0.0208	0.0000	0.0000	0.2708	0.0625	0.0000	0.0000	0.0000	0.0000	0.0208	0.3333	0.0000	0.3504	0.9366	0.0000	0.0199	0.0000	0.9998	0.0000	-17.0251	17.0251	-41.6708
JAJIVS010000015.1	5	0	0	0	11	0.2500	0.9018	0.4000	0.0000	0.6000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000
JAJIVS010000016.1	2	0	0	0	11	0.0000	0.9472	0.5000	0.0000	0.5000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.1521	0.5000	0.1521	0.0000	3.4366	-3.4366	-3.4366
JAJIVS010000017.1	8	0	2	0	11	0.0000	0.8034	0.2500	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.3750	0.0000	0.0000	0.0000	0.0000	0.0000	0.3750	0.0000	0.0000	1.0000	0.0000	0.5000	0.0706	0.9294	0.0000	-5.1548	5.1548	-5.1548
JAJIVS010000018.1	2	0	0	0	11	0.0000	0.7967	0.5000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.4987	0.8668	0.0000	0.4199	0.3341	0.5906	0.0000	-0.7327	0.7327	-2.9177
JAJIVS010000019.1	19	0	0	0	11	0.4444	0.7315	0.2632	0.0000	0.7368	0.0000	0.0000	0.3684	0.0000	0.0526	0.0000	0.0000	0.0000	0.0000	0.0000	0.3684	0.0526	0.0000	0.7087	0.7006	0.0000	0.0135	0.0207	0.3925	0.0000	0.8736	-0.8736	-23.9455
