seq_name	chromosome_score	plasmid_score	virus_score
JBBIGK010000001.1	0.9675	0.0298	0.0027
JBBIGK010000002.1	0.9443	0.0522	0.0035
JBBIGK010000003.1	0.9739	0.0237	0.0023
JBBIGK010000004.1	0.9513	0.0451	0.0036
JBBIGK010000005.1	0.9486	0.0478	0.0035
JBBIGK010000006.1	0.9714	0.0263	0.0022
JBBIGK010000007.1	0.9571	0.0397	0.0031
JBBIGK010000008.1	0.9583	0.0385	0.0032
JBBIGK010000009.1	0.9705	0.0272	0.0023
JBBIGK010000010.1	0.9434	0.0529	0.0037
JBBIGK010000011.1	0.9651	0.0322	0.0027
JBBIGK010000012.1	0.9560	0.0408	0.0032
JBBIGK010000013.1	0.9845	0.0141	0.0014
JBBIGK010000014.1	0.9227	0.0728	0.0046
JBBIGK010000015.1	0.9195	0.0754	0.0051
JBBIGK010000016.1	0.9739	0.0239	0.0022
JBBIGK010000017.1	0.9811	0.0170	0.0019
JBBIGK010000018.1	0.9197	0.0738	0.0066
JBBIGK010000019.1	0.9643	0.0331	0.0026
JBBIGK010000020.1	0.9286	0.0662	0.0052
JBBIGK010000021.1	0.9662	0.0312	0.0026
JBBIGK010000022.1	0.0876	0.9092	0.0032
JBBIGK010000023.1	0.7933	0.1941	0.0126
JBBIGK010000024.1	0.7833	0.2080	0.0087
JBBIGK010000025.1	0.9972	0.0024	0.0003
JBBIGK010000026.1	0.9680	0.0287	0.0033
JBBIGK010000027.1	0.9644	0.0324	0.0032
JBBIGK010000028.1	0.9493	0.0473	0.0034
JBBIGK010000029.1	0.0000	0.9999	0.0001
JBBIGK010000030.1	0.9873	0.0114	0.0013
JBBIGK010000031.1	0.9529	0.0426	0.0045
JBBIGK010000032.1	0.9763	0.0219	0.0018
JBBIGK010000033.1	0.5126	0.4789	0.0085
JBBIGK010000034.1	0.9503	0.0447	0.0051
JBBIGK010000035.1	0.0000	1.0000	0.0000
JBBIGK010000036.1	0.9035	0.0887	0.0078
JBBIGK010000037.1	0.0000	0.9998	0.0002
JBBIGK010000038.1	0.9887	0.0102	0.0011
JBBIGK010000039.1	0.0000	0.9999	0.0001
JBBIGK010000040.1	0.0000	1.0000	0.0000
JBBIGK010000041.1	0.0025	0.9960	0.0015
JBBIGK010000042.1	0.9353	0.0597	0.0050
JBBIGK010000043.1	0.0000	1.0000	0.0000
JBBIGK010000044.1	0.9851	0.0129	0.0020
JBBIGK010000045.1	0.9778	0.0205	0.0016
JBBIGK010000046.1	0.0000	1.0000	0.0000
JBBIGK010000047.1	0.0053	0.9943	0.0003
JBBIGK010000048.1	0.9811	0.0174	0.0016
JBBIGK010000049.1	0.0000	1.0000	0.0000
JBBIGK010000050.1	0.0001	0.0020	0.9979
JBBIGK010000051.1	0.7627	0.2289	0.0084
JBBIGK010000052.1	0.0000	0.9999	0.0001
JBBIGK010000053.1	0.0003	0.9992	0.0005
JBBIGK010000054.1	0.8248	0.1669	0.0083
JBBIGK010000055.1	0.0002	0.9995	0.0002
JBBIGK010000056.1	0.9983	0.0014	0.0002
JBBIGK010000057.1	0.3797	0.4839	0.1364
JBBIGK010000058.1	0.1859	0.7495	0.0646
JBBIGK010000059.1	0.0001	0.9999	0.0001
JBBIGK010000060.1	0.0876	0.7369	0.1755
JBBIGK010000061.1	0.0945	0.1797	0.7259
JBBIGK010000062.1	0.0042	0.9777	0.0181
JBBIGK010000063.1	0.8801	0.1114	0.0085
JBBIGK010000064.1	0.0222	0.9156	0.0622
JBBIGK010000065.1	0.0930	0.8134	0.0936
JBBIGK010000066.1	0.5620	0.3372	0.1008
JBBIGK010000067.1	0.2445	0.5490	0.2065
JBBIGK010000068.1	0.0000	1.0000	0.0000
JBBIGK010000069.1	0.1473	0.6864	0.1662
JBBIGK010000070.1	0.0002	0.9998	0.0001
JBBIGK010000071.1	0.2433	0.6679	0.0887
JBBIGK010000072.1	0.6334	0.3093	0.0573
JBBIGK010000073.1	0.0082	0.9901	0.0016
JBBIGK010000074.1	0.0109	0.9839	0.0052
JBBIGK010000075.1	0.0964	0.8037	0.0999
JBBIGK010000076.1	0.1453	0.6315	0.2232
JBBIGK010000077.1	0.8854	0.0850	0.0296
JBBIGK010000078.1	0.4323	0.5487	0.0190
JBBIGK010000079.1	0.6402	0.1763	0.1834
JBBIGK010000080.1	0.8748	0.0663	0.0590
JBBIGK010000081.1	0.6118	0.1543	0.2338
JBBIGK010000082.1	0.0000	1.0000	0.0000
JBBIGK010000083.1	0.9134	0.0387	0.0479
JBBIGK010000084.1	0.6104	0.3109	0.0788
