seq_name	chromosome_score	plasmid_score	virus_score
JAJIUR010000098.1	0.3672	0.5530	0.0798
JAJIUR010000099.1	0.2676	0.4983	0.2342
JAJIUR010000100.1	0.3542	0.6405	0.0053
JAJIUR010000101.1	0.5047	0.4832	0.0121
JAJIUR010000102.1	0.1629	0.5454	0.2918
JAJIUR010000103.1	0.6898	0.2998	0.0104
JAJIUR010000104.1	0.1112	0.8305	0.0584
JAJIUR010000105.1	0.4196	0.5516	0.0288
JAJIUR010000106.1	0.3231	0.6610	0.0160
JAJIUR010000107.1	0.4985	0.4770	0.0245
JAJIUR010000108.1	0.5011	0.4698	0.0291
JAJIUR010000109.1	0.6160	0.3176	0.0665
JAJIUR010000110.1	0.4801	0.5053	0.0145
JAJIUR010000111.1	0.2548	0.4311	0.3140
JAJIUR010000112.1	0.2693	0.1981	0.5326
JAJIUR010000113.1	0.3651	0.5559	0.0791
JAJIUR010000114.1	0.4717	0.5273	0.0011
JAJIUR010000010.1	0.2911	0.3466	0.3623
JAJIUR010000011.1	0.2065	0.6462	0.1473
JAJIUR010000012.1	0.4816	0.5053	0.0131
JAJIUR010000013.1	0.4809	0.5148	0.0044
JAJIUR010000014.1	0.4272	0.5277	0.0451
JAJIUR010000015.1	0.0943	0.7252	0.1805
JAJIUR010000016.1	0.3629	0.5745	0.0626
JAJIUR010000017.1	0.3633	0.5860	0.0507
JAJIUR010000018.1	0.6196	0.3265	0.0539
JAJIUR010000001.1	0.0086	0.8678	0.1236
JAJIUR010000019.1	0.3873	0.5819	0.0308
JAJIUR010000020.1	0.1024	0.8667	0.0309
JAJIUR010000021.1	0.3832	0.5320	0.0849
JAJIUR010000022.1	0.4146	0.5229	0.0625
JAJIUR010000023.1	0.5187	0.4644	0.0169
JAJIUR010000024.1	0.1469	0.7984	0.0547
JAJIUR010000025.1	0.4540	0.5133	0.0327
JAJIUR010000026.1	0.2967	0.4306	0.2727
JAJIUR010000027.1	0.4125	0.3740	0.2135
JAJIUR010000028.1	0.1740	0.3712	0.4547
JAJIUR010000002.1	0.1071	0.7088	0.1841
JAJIUR010000029.1	0.3504	0.2962	0.3535
JAJIUR010000030.1	0.6329	0.3578	0.0093
JAJIUR010000031.1	0.5080	0.4771	0.0148
JAJIUR010000032.1	0.3385	0.6497	0.0118
JAJIUR010000033.1	0.1539	0.5686	0.2775
JAJIUR010000034.1	0.4196	0.5581	0.0223
JAJIUR010000035.1	0.5363	0.4544	0.0093
JAJIUR010000036.1	0.0222	0.7965	0.1813
JAJIUR010000037.1	0.5189	0.4668	0.0143
JAJIUR010000038.1	0.0018	0.7667	0.2315
JAJIUR010000003.1	0.4896	0.4781	0.0323
JAJIUR010000039.1	0.3264	0.6182	0.0554
JAJIUR010000040.1	0.3459	0.6516	0.0025
JAJIUR010000041.1	0.7242	0.2415	0.0343
JAJIUR010000042.1	0.2921	0.6619	0.0459
JAJIUR010000043.1	0.2434	0.7471	0.0095
JAJIUR010000044.1	0.5379	0.4450	0.0170
JAJIUR010000045.1	0.2230	0.6055	0.1715
JAJIUR010000046.1	0.4692	0.5240	0.0068
JAJIUR010000047.1	0.3881	0.6039	0.0081
JAJIUR010000048.1	0.6330	0.2167	0.1503
JAJIUR010000004.1	0.3153	0.5946	0.0900
JAJIUR010000049.1	0.5248	0.2672	0.2080
JAJIUR010000050.1	0.1338	0.6683	0.1979
JAJIUR010000051.1	0.5067	0.3753	0.1180
JAJIUR010000052.1	0.5478	0.4076	0.0446
JAJIUR010000053.1	0.2818	0.3797	0.3385
JAJIUR010000054.1	0.4248	0.5636	0.0116
JAJIUR010000055.1	0.6531	0.3094	0.0375
JAJIUR010000056.1	0.2250	0.5745	0.2006
JAJIUR010000057.1	0.4463	0.5436	0.0101
JAJIUR010000005.1	0.4510	0.4893	0.0596
JAJIUR010000058.1	0.0073	0.8130	0.1797
JAJIUR010000059.1	0.3717	0.5455	0.0828
JAJIUR010000060.1	0.3974	0.5859	0.0167
JAJIUR010000061.1	0.5549	0.4357	0.0094
JAJIUR010000062.1	0.7068	0.1023	0.1909
JAJIUR010000063.1	0.4941	0.4801	0.0258
JAJIUR010000064.1	0.4305	0.2547	0.3149
JAJIUR010000065.1	0.4622	0.5038	0.0340
JAJIUR010000066.1	0.4101	0.5650	0.0249
JAJIUR010000067.1	0.2312	0.7117	0.0571
JAJIUR010000006.1	0.4312	0.5552	0.0136
JAJIUR010000068.1	0.2189	0.4256	0.3555
JAJIUR010000069.1	0.1794	0.7657	0.0549
JAJIUR010000070.1	0.5136	0.4555	0.0309
JAJIUR010000071.1	0.0608	0.8550	0.0842
JAJIUR010000072.1	0.5312	0.4608	0.0080
JAJIUR010000073.1	0.4435	0.5423	0.0141
JAJIUR010000074.1	0.4964	0.4903	0.0133
JAJIUR010000075.1	0.5072	0.3364	0.1564
JAJIUR010000076.1	0.4481	0.5107	0.0412
JAJIUR010000077.1	0.3889	0.5981	0.0130
JAJIUR010000007.1	0.5796	0.3216	0.0988
JAJIUR010000078.1	0.3566	0.3131	0.3303
JAJIUR010000079.1	0.1959	0.4965	0.3076
JAJIUR010000080.1	0.5186	0.4482	0.0331
JAJIUR010000081.1	0.0814	0.6214	0.2972
JAJIUR010000082.1	0.4678	0.5258	0.0064
JAJIUR010000083.1	0.5334	0.4508	0.0158
JAJIUR010000084.1	0.3123	0.6226	0.0651
JAJIUR010000085.1	0.8665	0.0958	0.0377
JAJIUR010000086.1	0.4806	0.4748	0.0446
JAJIUR010000087.1	0.5654	0.4274	0.0072
JAJIUR010000008.1	0.8166	0.1825	0.0010
JAJIUR010000088.1	0.3339	0.3683	0.2978
JAJIUR010000089.1	0.4161	0.5461	0.0378
JAJIUR010000090.1	0.3730	0.5932	0.0338
JAJIUR010000091.1	0.5312	0.2521	0.2167
JAJIUR010000092.1	0.4077	0.5517	0.0407
JAJIUR010000093.1	0.1200	0.8617	0.0183
JAJIUR010000094.1	0.1890	0.6186	0.1924
JAJIUR010000095.1	0.0419	0.9378	0.0204
JAJIUR010000096.1	0.6408	0.3300	0.0292
JAJIUR010000097.1	0.4951	0.4958	0.0091
JAJIUR010000009.1	0.4656	0.5272	0.0072
